Term,Definition,Synonyms,Examples,Impacts Narration?,Impacts Plot?,Impacts Storyworld?,Impacts Character?
Almighty Heart,The combination of the secret discloser (a narrative technology in which a narrator shares an intimate secret about a character) with wish fulfillment (a plot technology that shows a character getting everything they want) ,,,narration,plot,storyworld,character
Almighty Heart + Satiric Narration,The combination of the secret discloser (a narrative technology in which a narrator shares an intimate secret about a character) with wish fulfillment (a plot technology that shows a character getting everything they want) and a narrator who gently mocks some or all characters,,,narration,plot,storyworld,character
Almighty Heart + Soliloquy,"The combination of the secret discloser (a narrative technology in which a narrator shares an intimate secret about a character) with wish fulfillment (a plot technology that shows a character getting everything they want) and soliloquy (a character who reveals a conflict that you have experienced, prompting identification)",,,narration,plot,storyworld,character
Comic Wink + Reality Shifter,"When a story has a narrator who winks at the viewer/reader to indicate ""this isn't real"" but presents an alternate reality in the form of an absurd or unrealistic plot, character, or storyworld.",,,narration,plot,storyworld,character
Opportunity to Observe,"Constructing a story in which characters display many emotions, perhaps unpredictably, encouraging the viewers or readers to observe and recognize the emotions they are experiencing.",,,narration,plot,storyworld,character
Opportunity to Observe + Pivot into Positive Emotion,"Constructing a story in which characters display many emotions, perhaps unpredictably, encouraging the viewers or readers to observe and recognize the emotions they are experiencing and then giving that story an ending that generates positive emotions",,,narration,plot,storyworld,character
Parable,A simple story illustrating a moral or religious lesson,,,narration,plot,storyworld,character
Poetic History,Rearranging our collective memory to help us relearn where we came from,,,narration,plot,storyworld,character
Stretch,"""The taking of a regular pattern of plot or character or storyworld or narrative style or any other core component of story--any extending the pattern further. The stretch is the invention at the root of all literary wonder: the marvel that comes from stretching regular objects into metaphors, the dazzle that comes from stretching regular rhythms of speech into poetic meters, and the awe that comes from stretching regular humans into heroes"" (Fletcher 17).","metaphor, poetic meter, repetition",,narration,plot,storyworld,character
Vigilance Trigger,Adding an element to the story that does not fit without explanation,,,narration,plot,storyworld,character
Reality Shifter,"Presenting an alternate reality in the form of an absurd or unrealistic plot, character, or storyworld.",,,,plot,storyworld,character
Disagreeing Narrators,Two or more narrators who disagree in their evaluation of the storyworld and characters they convey ,,,narration,,storyworld,character
